src_ip,dst_ip,src2dst_packets,dst2src_packets,src2dst_ip_bytes,dst2src_ip_bytes,src2dst_mean_piat_ms,dst2src_mean_piat_ms,src2dst_mean_ip_ps,dst2src_mean_ip_ps,src_port,dst_port,protocol,src2dst_stdev_piat_ms,dst2src_stdev_piat_ms,src2dst_stdev_ip_ps,dst2src_stdev_ip_ps,Class
192.168.0.18,99.181.97.176,377,930.0,23128,1259229.0,10.683510638297872,4.319698600645855,61.347480106100775,1354.0096774193546,53017,443,6,25.245849177819704,18.27148149756767,153.8414619854286,407.497652542524,1
192.168.0.18,99.181.97.143,337,873.0,21643,1250235.0,14.04166666666667,5.401376146788988,64.22255192878337,1432.1134020618563,53022,443,6,25.466478796420926,17.29813931674768,166.51523157669297,285.3314300410338,1
192.168.0.18,192.16.65.149,487,920.0,31750,1208546.0,12.434156378600822,6.539717083786727,65.19507186858314,1313.6369565217387,53298,443,6,25.642321372475426,21.568260700312557,159.4550936447117,444.7346297590734,1
192.168.0.18,199.232.50.167,335,949.0,55057,1181610.0,873.8622754491017,308.09810126582283,164.34925373134325,1245.1106427818738,53023,443,6,2465.566037419985,1529.9686312278648,270.3077428787786,480.96686353761527,1
192.168.0.18,99.181.97.164,344,814.0,23147,1013404.0,246.04956268221576,79.9471094710947,67.28779069767445,1244.9680589680584,53003,443,6,1327.7584794688769,847.1263091489656,173.03416899729896,514.0308106089248,1
192.168.0.18,192.16.65.173,384,796.0,28878,994849.0,22.09399477806788,10.562264150943387,75.20312499999996,1249.8103015075376,53374,443,6,34.422255379530064,27.596263115505558,193.24008090324702,494.0625865625888,1
192.168.0.18,192.16.65.115,388,753.0,24709,987816.0,13.863049095607238,7.151595744680854,63.68298969072168,1311.8406374502001,53704,443,6,25.23648469162945,20.45047663960652,153.98793542906304,443.0775064223703,1
192.168.0.18,13.227.6.235,313,707.0,22629,952498.0,230.823717948718,101.97308781869688,72.29712460063902,1347.2390381895327,53556,443,6,1392.5004854919157,936.4656677062096,69.0255751425286,412.621623588607,1
192.168.0.18,192.16.65.152,321,693.0,21135,901758.0,13.259375000000006,6.1300578034682145,65.84112149532712,1301.238095238095,53706,443,6,24.996769187788768,18.68190170263068,170.48956068844302,455.4571001832657,1
192.168.0.18,192.16.65.181,317,623.0,22374,844303.0,12.322784810126587,6.154340836012862,70.58044164037857,1355.22150882825,53708,443,6,26.03167032974875,20.129019568569557,166.82446621419896,397.1096081525968,1
192.168.0.18,99.181.97.51,251,646.0,22383,794526.0,30.82400000000001,11.893023255813956,89.17529880478094,1229.916408668732,53231,443,6,46.77323986930438,37.0353536528755,243.50476206310697,511.24677135284713,1
192.168.0.18,192.16.65.39,297,509.0,20538,643031.0,155.60135135135138,90.6653543307087,69.15151515151513,1263.3222003929266,53697,443,6,1159.2911641397106,890.055408055448,173.66027901089677,484.35011487334845,1
192.168.0.18,99.181.97.168,209,518.0,16510,637358.0,25.822115384615397,10.301740812379121,78.99521531100478,1230.4208494208478,53010,443,6,38.246872769717406,27.430141304821213,206.33657850910208,511.14291902073796,1
192.168.0.18,192.16.65.40,828,1907.0,44598,2679853.0,7.349455864570742,3.188352570828957,53.86231884057964,1405.2716308337704,53702,443,6,17.409607685878427,12.740111319947625,119.54663605251548,332.50966999108493,1
192.168.0.18,99.181.97.165,180,492.0,15572,630913.0,25.51396648044693,9.279022403258649,86.51111111111112,1282.3434959349604,53510,443,6,46.223000931111365,33.823514762352666,224.67256096904617,477.7962116381606,1
192.168.0.18,192.16.65.172,181,453.0,13362,590416.0,18.344444444444445,7.205752212389378,73.82320441988955,1303.3465783664453,53676,443,6,32.282330331699114,22.998692001959462,202.10575260576152,456.2587533096474,1
192.168.0.18,52.223.241.14,50,131.0,20590,169241.0,528.8775510204084,199.17692307692306,411.80000000000007,1291.9160305343505,52095,443,6,886.8027691434801,635.5100309698718,600.9787934728492,472.28817861992064,1
192.168.0.18,52.223.241.2,60,133.0,21663,167830.0,419.98305084745766,187.29545454545465,361.04999999999984,1261.8796992481202,52297,443,6,761.0705366631523,582.9420871113579,565.1673945817338,491.96082680947296,1
192.168.0.18,52.88.37.238,306,389.0,14359,174354.0,279.4196721311476,219.2654639175256,46.924836601307184,448.2107969151672,52105,443,6,1047.190451604464,948.9284255079477,53.74814586941064,209.9425713979612,1
